"Ptt","day","range","max","month"
183942,2019-08-20,5,31.5,8
183942,2019-08-21,6.5,32,8
183942,2019-08-22,9,34,8
183942,2019-08-23,6,35,8
183942,2019-08-24,6.5,34.5,8
183942,2019-08-26,8,34.5,8
183942,2019-08-27,5.5,35.5,8
183942,2019-08-28,4.5,36,8
183942,2019-08-29,6.5,37.5,8
183942,2019-08-30,2.5,36,8
183942,2019-08-31,5.5,35.5,8
183942,2019-09-01,4,34.5,9
183942,2019-09-02,7,35,9
183942,2019-09-03,10,34.5,9
183942,2019-09-04,5.5,34,9
183942,2019-09-05,6.5,36.5,9
183942,2019-09-06,11,37.5,9
183942,2019-09-07,2,35.5,9
183942,2019-09-08,8,38.5,9
183942,2019-09-09,9.5,39.5,9
183942,2019-09-10,2.5,40,9
183942,2019-09-11,3.5,40.5,9
183942,2019-09-12,6.5,42,9
183942,2019-09-13,8.5,40.5,9
183942,2019-09-14,4.5,38,9
183942,2019-09-15,4,37.5,9
183942,2019-09-16,5,38,9
183942,2019-09-17,6.5,38.5,9
183942,2019-09-18,7.5,37,9
183942,2019-09-19,5.5,38.5,9
183942,2019-09-20,4.5,38.5,9
183942,2019-09-21,5.5,38.5,9
183942,2019-09-22,6,38.5,9
183942,2019-09-23,5,37.5,9
183942,2019-09-24,7.5,38,9
183942,2019-09-25,5.5,36.5,9
183942,2019-09-26,4,35,9
183942,2019-09-27,6,35.5,9
183942,2019-09-29,3,38.5,9
183942,2019-09-30,7.5,39,9
183942,2019-10-01,5.5,36,10
183942,2019-10-02,7,36.5,10
183942,2019-10-03,5,38,10
183942,2019-10-04,7,39,10
183942,2019-10-05,12,42.5,10
183942,2019-10-06,15,38.5,10
183942,2019-10-07,9,37.5,10
183942,2019-10-08,9,37,10
183942,2019-10-09,12.5,38.5,10
183942,2019-10-11,15.5,35.5,10
183942,2019-10-12,14.5,38.5,10
183942,2019-10-13,14,38.5,10
183942,2019-10-14,2.5,39,10
183942,2019-10-16,5.5,27.5,10
183942,2019-10-17,3.5,28.5,10
183942,2019-10-18,1.5,33.5,10
183942,2019-10-19,4.5,34,10
183942,2019-10-20,2.5,33,10
183942,2019-10-21,9.5,31.5,10
183942,2019-10-22,9.5,29.5,10
183942,2019-10-23,14,32.5,10
183942,2019-10-24,12,33.5,10
183942,2019-10-25,12.5,36.5,10
183942,2019-10-26,7.5,36.5,10
183942,2019-10-27,5,37,10
183942,2019-10-28,6,37.5,10
183942,2019-10-29,9.5,33.5,10
183942,2019-10-30,3,29,10
183942,2019-10-31,5.5,28,10
183942,2019-11-01,17.5,34.5,11
183942,2019-11-02,10.5,35.5,11
183942,2019-11-03,2.5,34,11
183942,2019-11-04,2.5,32,11
183942,2019-11-05,7,29.5,11
183942,2019-11-06,5.5,27,11
183942,2019-11-07,5.5,27.5,11
183942,2019-11-08,6,27,11
183942,2019-11-09,7,27.5,11
183942,2019-11-11,7,29.5,11
183942,2019-11-12,7.5,28.5,11
183943,2019-08-19,3,28.5,8
183943,2019-08-20,2.5,28,8
183943,2019-08-21,4.5,31,8
183943,2019-08-22,6,32,8
183943,2019-08-23,3,29.5,8
183943,2019-08-24,7,34.5,8
183943,2019-08-26,2.5,28.5,8
183943,2019-08-27,5.5,33,8
183943,2019-08-28,2,32.5,8
183943,2019-08-29,2.5,33,8
183943,2019-08-30,4,34,8
183943,2019-08-31,3.5,34,8
183943,2019-09-02,4,36,9
183943,2019-09-03,7,38,9
183943,2019-09-04,11.5,38.5,9
183943,2019-09-05,6.5,37.5,9
183943,2019-09-06,2.5,36,9
183943,2019-09-07,6,35.5,9
183943,2019-09-08,4.5,36.5,9
183943,2019-09-09,4,36.5,9
183943,2019-09-10,2,33.5,9
183943,2019-09-11,2,30.5,9
183943,2019-09-13,1,35.5,9
183943,2019-09-14,8,35.5,9
183943,2019-09-16,4,35.5,9
183943,2019-09-18,2,33,9
183943,2019-09-23,8,32,9
183943,2019-09-25,3.5,42.5,9
183943,2019-09-26,2.5,43.5,9
183943,2019-09-27,7.5,52,9
183943,2019-09-30,2,41,9
183943,2019-10-01,7.5,44,10
183943,2019-10-02,4.5,42.5,10
183943,2019-10-03,7.5,41,10
183943,2019-10-04,5.5,36.5,10
183943,2019-10-05,8,38,10
183943,2019-10-07,2,41.5,10
183943,2019-10-08,2.5,41,10
183943,2019-10-09,2.5,41,10
183943,2019-10-11,3,41,10
183943,2019-10-12,4.5,44,10
183943,2019-10-13,4,46.5,10
183943,2019-10-16,2.5,43.5,10
183943,2019-10-17,10.5,41.5,10
183943,2019-10-18,4.5,44,10
183943,2019-10-20,5.5,46,10
183943,2019-10-21,10.5,47.5,10
183943,2019-10-22,2.5,48,10
183943,2019-10-23,4,49.5,10
183943,2019-10-24,4,50,10
183943,2019-10-25,4,50.5,10
183943,2019-10-26,4,51,10
183943,2019-10-27,6,50.5,10
183943,2019-10-29,10.5,51.5,10
183943,2019-11-01,9,51.5,11
183943,2019-11-03,4.5,50.5,11
183943,2019-11-04,1.5,46.5,11
183943,2019-11-05,6,52.5,11
183943,2019-11-06,6,53,11
183943,2019-11-08,3,56.5,11
183943,2019-11-09,5,56.5,11
183943,2019-11-10,7.5,64,11
183943,2019-11-11,6,65.5,11
183945,2019-09-01,10,31.5,9
183945,2019-09-13,6,39.5,9
183945,2019-10-29,2.5,65.5,10
183945,2019-11-26,10,66.5,11
183945,2020-01-02,13.5,73.5,1
183945,2020-01-19,11,29,1
183948,2019-08-22,2,30.5,8
183948,2019-08-28,2,30,8
183948,2019-08-30,3.5,29.5,8
183948,2019-09-01,3,27.5,9
183948,2019-09-03,3.5,28,9
183948,2019-09-05,3.5,27.5,9
183948,2019-09-07,3.5,27,9
183948,2019-09-11,3,28.5,9
183948,2019-09-13,3.5,27.5,9
183948,2019-09-17,5,31,9
183948,2019-09-19,4,28.5,9
183948,2019-09-21,6,30,9
183948,2019-09-23,3,28.5,9
183948,2019-09-25,6.5,30,9
183948,2019-09-27,4.5,29,9
183948,2019-09-29,8.5,29.5,9
183948,2019-10-01,3,30,10
183948,2019-10-03,4,28.5,10
183948,2019-10-05,3,30.5,10
183948,2019-10-07,3.5,31,10
183948,2019-10-09,3,29,10
183948,2019-10-11,4,34.5,10
183948,2019-10-13,8.5,40.5,10
183948,2019-10-15,8.5,32.5,10
183948,2019-10-17,5,28,10
183948,2019-10-19,3,29,10
183948,2019-10-21,5.5,29,10
183948,2019-10-23,3,28.5,10
183948,2019-10-25,8.5,26.5,10
183948,2019-10-27,7,28.5,10
183948,2019-10-29,5.5,31,10
183948,2019-10-31,5.5,33,10
183948,2019-11-04,4.5,28.5,11
183948,2019-11-06,10,33,11
183948,2019-11-08,3.5,27.5,11
183948,2019-11-10,9.5,29.5,11
183948,2019-11-16,2,34.5,11
183948,2019-11-20,7.5,30.5,11
183948,2019-11-22,11,37.5,11
183948,2019-11-24,11,38.5,11
183948,2019-11-26,8,37.5,11
183948,2019-12-04,3,34.5,12
183948,2019-12-06,8,36,12
183948,2019-12-08,4,37.5,12
183948,2019-12-10,8,37,12
183948,2019-12-14,4,37,12
183948,2019-12-16,9,37,12
183948,2019-12-18,2.5,37,12
183948,2019-12-20,3.5,36,12
183948,2019-12-22,8,38,12
183948,2019-12-24,3,33.5,12
183948,2019-12-26,3.5,37.5,12
183948,2019-12-28,4.5,40,12
183948,2019-12-30,4.5,42.5,12
183948,2020-01-01,7,46,1
183948,2020-01-03,15.5,49.5,1
183948,2020-01-05,6,56,1
183948,2020-01-07,2.5,57.5,1
183948,2020-01-09,9.5,63.5,1
183948,2020-01-11,6.5,63,1
183948,2020-01-13,10.5,67,1
183948,2020-01-15,7,67.5,1
183948,2020-01-17,2,66,1
183948,2020-01-19,1.5,65,1
183948,2020-01-21,3,63,1
183948,2020-01-23,1,60.5,1
183948,2020-01-25,5.5,65,1
183948,2020-01-27,8.5,69.5,1
183948,2020-01-29,11,73.5,1
183948,2020-01-31,9,75.5,1
183948,2020-02-04,1,75.5,2
183948,2020-02-06,2,77.5,2
183948,2020-02-08,2.5,78,2
183948,2020-02-10,3.5,80.5,2
183948,2020-02-12,5,83,2
183948,2020-02-14,3.5,82,2
183948,2020-02-18,6,81.5,2
183948,2020-02-20,9.5,85.5,2
183948,2020-02-24,37,56,2
183948,2020-02-26,53.5,76.5,2
183948,2020-02-28,48,62.5,2
183948,2020-03-03,16,71,3
183948,2020-03-11,25.5,115.5,3
183948,2020-03-13,17,111,3
183948,2020-03-15,19.5,102,3
183948,2020-03-17,5,95,3
183948,2020-03-19,11.5,98.5,3
183948,2020-03-25,26.5,108.5,3
183948,2020-03-29,9,81.5,3
183948,2020-03-31,4,78,3
183948,2020-04-02,2,75.5,4
183948,2020-04-04,14,74.5,4
183948,2020-04-06,15.5,73,4
183948,2020-04-08,2.5,73,4
183948,2020-04-10,5,72.5,4
183948,2020-04-12,5,72,4
183948,2020-04-14,3.5,72.5,4
183948,2020-04-18,2.5,75.5,4
183948,2020-04-20,2.5,76.5,4
183948,2020-04-22,5.5,81,4
183948,2020-04-24,3,82.5,4
183948,2020-04-26,7.5,83,4
183948,2020-04-28,10,83.5,4
